Age Group,Male,Female
0-9,"187,193","175,858"
10-19,"232,341","249,119"
20-29,"362,175","396,287"
30-39,"308,539","342,191"
40-49,"234,608","268,820"
50-59,"185,677","202,670"
60-69,"125,372","127,025"
70-79,"70,941","64,342"
80-89,"29,781","30,283"
90+,"7,246","12,626"
