,STATE,FIRST,SECOND,THIRD
0,NSW,96.4%,94.9%,63.5%
1,Victoria,95.5%,94.0%,67.5%
2,Queensland,93.9%,92.4%,57.5%
3,WA,>99%,97.6%,79.5%
4,SA,95.5%,93.5%,67.5%
5,Tasmania,>99%,>99%,71.0%
6,ACT,>99%,>99%,78.7%
7,NT,91.3%,88.8%,67.8%
8,Australia,97.3%,95.7%,66.3%
