,"Country, Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,New Recovered,Active Cases,"Serious, Critical",Total Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/1M pop,Population
0,"
North America
","101,151,356",,"1,472,838",,"95,625,282",,"4,053,236","7,898",,,,,
1,"
Asia
","155,158,659","+248,788","1,430,803",+246,"147,781,169","+280,223","5,946,687","11,209",,,,,
2,"
South America
","57,510,386",+179,"1,298,292",,"53,437,599",+346,"2,774,495","10,505",,,,,
3,"
Europe
","195,916,939","+5,322","1,839,227",+91,"184,775,050","+97,240","9,302,662","6,983",,,,,
4,"
Oceania
","8,603,336","+45,913","12,160",+69,"8,114,112","+7,871","477,064",132,,,,,
5,"
Africa
","12,126,756",,"254,789",,"11,317,688",,"554,279",963,,,,,
6,"

",721,,15,,706,,0,0,,,,,
206,Guinea-Bissau,"8,260",,171 ,,"8,033",,56,6,"4,017",83,"138,599","67,408","2,056,128 "
207,Antigua and Barbuda,"8,119",,138 ,,"7,764",,217,1,"81,626","1,387","18,901","190,025","99,466 "
208,Comoros,"8,100",,160 ,,"7,933",,7,,"8,953",177,,,"904,700 "
209,Sierra Leone,"7,682",,125 ,,N/A,N/A,N/A,,927,15,"259,958","31,379","8,284,357 "
210,Liberia,"7,455",,294 ,,"5,747",,"1,414",2,"1,411",56,"139,824","26,467","5,282,907 "
211,Chad,"7,417",,193 ,,"4,874",,"2,350",,428,11,"191,341","11,048","17,318,776 "
212,St. Vincent Grenadines,"6,860",,106 ,,"6,641",,113,,"61,465",950,"99,535","891,827","111,608 "
213,British Virgin Islands,"6,690",,62 ,,N/A,N/A,N/A,1,"218,542","2,025","103,895","3,393,930","30,612 "
214,Turks and Caicos,"6,123",,36 ,,"6,044",,43,4,"154,193",907,"521,408","13,130,395","39,710 "
215,Sao Tome and Principe,"5,982",,73 ,,"5,900",,9,,"26,367",322,"29,036","127,985","226,871 "
216,Saint Kitts and Nevis,"5,701",,43 ,,"5,585",,73,,"105,746",798,"70,707","1,311,526","53,912 "
217,Cook Islands,"5,613",,1 ,,"5,533",,79,,"319,029",57,"18,503","1,051,665","17,594 "
218,Palau,"5,020",,6 ,,"4,298",,716,1,"274,963",329,"51,089","2,798,324","18,257 "
219,St. Barth,"4,630",,6 ,,N/A,N/A,N/A,,"466,076",604,"78,646","7,916,851","9,934 "
220,Anguilla,"3,203",,9 ,,"3,142",,52,4,"209,936",590,"51,382","3,367,766","15,257 "
221,Kiribati,"3,098",,13 ,,"2,602",,483,3,"25,203",106,,,"122,922 "
222,Saint Pierre Miquelon,"2,748",,1 ,,"2,449",,298,1,"478,746",174,"23,787","4,144,077","5,740 "
223,Falkland Islands,"1,687",, ,,N/A,N/A,N/A,,"459,423",,"8,632","2,350,763","3,672 "
224,Montserrat,958,,4 ,,856,,98,,"191,677",800,"12,706","2,542,217","4,998 "
225,Diamond Princess,712,,13 ,,699,,0,,,,,, 
226,Wallis and Futuna,454,,7 ,,438,,9,,"41,782",644,"20,508","1,887,355","10,866 "
227,Macao,83,, ,,82,,1,,125,,"5,584","8,383","666,110 "
228,Micronesia,30,, ,,30,,0,,256,,"21,109","179,945","117,308 "
229,Vatican City,29,, ,,29,,0,,"36,025",,,,805 
230,Marshall Islands,17,, ,,14,,3,,284,,,,"59,947 "
231,Western Sahara,10,,1 ,,9,,0,,16,2,,,"625,164 "
232,MS Zaandam,9,,2 ,,7,,0,,,,,, 
233,Niue,9,, ,,9,,0,,"5,464",,,,"1,647 "
234,Nauru,8,, ,,8,,0,,730,,,,"10,953 "
235,Tuvalu,3,, ,,,,3,,249,,,,"12,068 "
236,Saint Helena,2,, ,,2,,0,,327,,,,"6,111 "
237,China,"223,837",+102,"5,226 ",+1,"215,339",+216,"3,272",169,156,4,"160,000,000","111,163","1,439,323,776 "
